Customer ID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
1,289,3,5600,2,1,4,214,Lost
2,73,6,6459,4,3,4,434,Champions
3,223,4,3613,2,2,3,223,Customers Needing Attention
4,442,5,4339,1,2,3,123,At Risk
5,425,5,2263,1,2,1,121,Cant Lose Them
6,141,9,9439,3,4,4,344,Champions
7,142,8,4441,3,4,3,343,Champions
8,26,7,8192,4,4,4,444,Champions
9,141,7,4719,3,4,3,343,Champions
10,131,8,6693,3,4,4,344,Champions
11,103,8,5557,3,4,4,344,Champions
12,114,7,5047,3,4,3,343,Champions
13,259,5,3249,2,2,2,222,Customers Needing Attention
14,264,5,4010,2,2,3,223,Customers Needing Attention
15,82,5,2599,3,2,2,322,Potential Loyalists
16,105,3,1907,3,1,1,311,Promising
17,103,8,8557,3,4,4,344,Champions
18,427,2,852,1,1,1,111,Lost
19,518,5,3953,1,2,3,123,At Risk
20,77,4,2431,4,2,2,422,Potential Loyalists
21,266,5,2422,2,2,2,222,Customers Needing Attention
22,14,5,1902,4,2,1,421,New Customers
23,135,7,6804,3,4,4,344,Champions
24,145,4,2064,3,2,1,321,Promising
25,354,3,3395,2,1,2,212,Customers Needing Attention
26,185,3,2000,3,1,1,311,Promising
27,239,4,2891,2,2,2,222,Customers Needing Attention
28,309,4,4877,2,2,3,223,Customers Needing Attention
29,572,5,2229,1,2,1,121,Cant Lose Them
30,58,4,1770,4,2,1,421,New Customers
31,154,6,6204,3,3,4,334,Champions
32,864,5,4650,1,2,3,123,At Risk
33,487,7,6593,1,4,4,144,At Risk
34,301,1,1413,2,1,1,211,About to Sleep
35,270,8,6569,2,4,4,244,Loyal Customers
36,26,4,2951,4,2,2,422,Potential Loyalists
37,33,8,5934,4,4,4,444,Champions
38,237,4,2522,2,2,2,222,Customers Needing Attention
39,473,7,5773,1,4,4,144,At Risk
40,278,6,5371,2,3,4,234,Loyal Customers
41,235,7,3714,2,4,3,243,Loyal Customers
42,20,6,4030,4,3,3,433,Champions
43,121,5,3217,3,2,2,322,Potential Loyalists
44,69,4,2284,4,2,2,422,Potential Loyalists
45,21,7,4984,4,4,3,443,Champions
46,146,8,7932,3,4,4,344,Champions
47,241,8,6455,2,4,4,244,Loyal Customers
48,25,3,2057,4,1,1,411,New Customers
49,796,2,2460,1,1,2,112,Hibernating
50,199,4,2679,2,2,2,222,Customers Needing Attention
51,320,11,9451,2,4,4,244,Loyal Customers
52,83,8,7967,3,4,4,344,Champions
53,171,4,1184,3,2,1,321,Promising
54,121,5,1346,3,2,1,321,Promising
55,272,5,4345,2,2,3,223,Customers Needing Attention
56,540,4,3350,1,2,2,122,At Risk
57,324,5,2129,2,2,1,221,About to Sleep
58,157,4,1866,3,2,1,321,Promising
59,57,7,3986,4,4,3,443,Champions
60,293,8,6292,2,4,4,244,Loyal Customers
61,88,4,2698,3,2,2,322,Potential Loyalists
62,487,3,976,1,1,1,111,Lost
63,364,6,5572,2,3,4,234,Loyal Customers
64,707,3,3731,1,1,3,113,Hibernating
65,67,6,2577,4,3,2,432,New Customers
66,48,6,4495,4,3,3,433,Champions
67,296,2,1176,2,1,1,211,About to Sleep
68,836,3,2309,1,1,2,112,Hibernating
69,226,3,2544,2,1,2,212,Customers Needing Attention
70,6,9,6827,4,4,4,444,Champions
71,430,2,2131,1,1,1,111,Lost
72,166,7,7038,3,4,4,344,Champions
73,571,2,1186,1,1,1,111,Lost
74,132,5,5713,3,2,4,324,Potential Loyalists
75,209,3,3597,2,1,3,213,Customers Needing Attention
76,103,2,1072,3,1,1,311,Promising
77,779,2,1174,1,1,1,111,Lost
78,599,4,3732,1,2,3,123,At Risk
79,791,3,3233,1,1,2,112,Hibernating
80,350,10,5561,2,4,4,244,Loyal Customers
81,347,5,2698,2,2,2,222,Customers Needing Attention
82,99,4,3828,3,2,3,323,Potential Loyalists
83,159,8,7024,3,4,4,344,Champions
84,70,3,2764,4,1,2,412,Potential Loyalists
85,254,7,5167,2,4,4,244,Loyal Customers
86,273,6,4323,2,3,3,233,Loyal Customers
87,244,2,1155,2,1,1,211,About to Sleep
88,419,5,4595,1,2,3,123,At Risk
89,2,7,6822,4,4,4,444,Champions
90,1,6,6608,4,3,4,434,Champions
91,92,6,6662,3,3,4,334,Champions
92,264,3,1652,2,1,1,211,About to Sleep
93,298,3,2284,2,1,2,212,Customers Needing Attention
94,88,6,7378,3,3,4,334,Champions
95,109,4,2764,3,2,2,322,Potential Loyalists
96,2,7,4413,4,4,3,443,Champions
97,234,3,4760,2,1,3,213,Customers Needing Attention
98,222,6,3526,2,3,2,232,Lost
99,660,4,2781,1,2,2,122,At Risk
100,23,8,7854,4,4,4,444,Champions
101,122,8,4421,3,4,3,343,Champions
102,964,1,28,1,1,1,111,Lost
103,89,7,3228,3,4,2,342,Lost
104,542,4,4149,1,2,3,123,At Risk
105,215,4,2636,2,2,2,222,Customers Needing Attention
106,56,3,3148,4,1,2,412,Potential Loyalists
107,301,4,2514,2,2,2,222,Customers Needing Attention
108,262,11,7111,2,4,4,244,Loyal Customers
109,108,5,4790,3,2,3,323,Potential Loyalists
110,459,3,1700,1,1,1,111,Lost
111,322,5,5940,2,2,4,224,Lost
112,560,2,518,1,1,1,111,Lost
113,332,4,2093,2,2,1,221,About to Sleep
114,695,5,2515,1,2,2,122,At Risk
115,199,7,7374,2,4,4,244,Loyal Customers
116,36,4,1052,4,2,1,421,New Customers
117,29,6,6450,4,3,4,434,Champions
118,213,6,4586,2,3,3,233,Loyal Customers
119,435,6,5958,1,3,4,134,At Risk
120,259,5,5209,2,2,4,224,Lost
121,499,5,3505,1,2,2,122,At Risk
122,142,5,3562,3,2,2,322,Potential Loyalists
123,27,3,2162,4,1,1,411,New Customers
124,708,2,1344,1,1,1,111,Lost
125,37,6,3007,4,3,2,432,New Customers
126,614,3,1665,1,1,1,111,Lost
127,952,1,170,1,1,1,111,Lost
128,382,2,2507,1,1,2,112,Hibernating
129,193,6,4308,2,3,3,233,Loyal Customers
130,165,4,2429,3,2,2,322,Potential Loyalists
131,543,4,1953,1,2,1,121,Cant Lose Them
132,245,3,4024,2,1,3,213,Customers Needing Attention
133,7,8,6495,4,4,4,444,Champions
134,186,4,5034,3,2,3,323,Potential Loyalists
135,253,6,5356,2,3,4,234,Loyal Customers
136,370,8,8025,2,4,4,244,Loyal Customers
137,495,8,5393,1,4,4,144,At Risk
138,232,2,898,2,1,1,211,About to Sleep
139,67,7,5736,4,4,4,444,Champions
140,137,3,1180,3,1,1,311,Promising
141,329,9,8483,2,4,4,244,Loyal Customers
142,466,2,1770,1,1,1,111,Lost
143,179,8,5058,3,4,3,343,Champions
