Segment,Öneri
Champions,"Sadakat programları, özel indirimler, VIP hizmetler sunulmalı."
Loyal Customers,Düzenli iletişim ve özel ürün önerileri yapılmalı.
Potential Loyalists,İletişimi artırarak sadakat programlarına dahil edilmeli.
New Customers,Ürün satın alma deneyimlerini iyileştirmeye odaklanılmalı.
Promising,Satın alma sıklığını artırmak için teşvikler sunulmalı.
Customers Needing Attention,Dikkat çekici kampanyalar ile ilgi yeniden kazanılmalı.
About to Sleep,Kaybetmeden önce özel tekliflerle tekrar kazanılmalı.
At Risk,Acil win-back kampanyaları düzenlenmeli.
Cant Lose Them,Kişiselleştirilmiş iletişim ve özel teklifler sunulmalı.
Hibernating,Yeniden aktivasyon kampanyaları düzenlenmeli.
Lost,Düşük maliyetli win-back kampanyaları veya pasif olarak bırakılmalı.
